Month No.,Ex Value
1,12833.6744
2,14649.7956
3,15762.6018
4,21791.3123
5,16965.4685
6,15830.4954
7,17452.9571
8,21267.0817
9,11632.5647
10,12153.7209
11,14050.27
12,15456.0073
13,12388.2587
14,12926.7765
15,16178.1378
16,26304.8358
17,29176.984
18,11602.3661
19,15486.4241
20,17595.6954
21,18607.3186
22,14508.1766
23,17146.6445
24,20566.2181
25,17293.578
26,20689.777
27,22231.0466
28,35193.6465
29,40039.1825
30,30251.7418
31,34979.7037
32,39794.0591
33,25193.632
34,22478.1472
35,25706.8454
36,28955.5254
