Month No. Changes (CNY),aซื้อตั๋วเงิน,aซื้อเงินโอน,aขาย,aอัตรากลาง
1,4.5908,4.6216,4.7397,4.6807
2,4.5534,4.5839,4.6982,4.6411
3,4.6351,4.6654,4.7807,4.7231
4,4.6508,4.6814,4.7965,4.739
5,4.5416,4.572,4.6863,4.6292
6,4.4188,4.4493,4.5639,4.5066
7,4.3874,4.4182,4.5328,4.4755
8,4.2671,4.2962,4.4114,4.3538
9,4.2108,4.2393,4.3523,4.2958
10,4.1886,4.2194,4.3358,4.2776
11,4.2178,4.2487,4.3653,4.307
12,4.2214,4.2518,4.3663,4.309
13,4.3063,4.3358,4.4503,4.3931
14,4.3873,4.4174,4.5361,4.4768
15,4.4847,4.5125,4.6258,4.5692
16,4.5211,4.5512,4.6743,4.6128
17,4.4109,4.4404,4.5659,4.5032
18,4.303,4.3353,4.4648,4.4001
19,4.3861,4.4181,4.5496,4.4839
20,4.4089,4.4412,4.577,4.5091
21,4.5056,4.5383,4.6791,4.6088
22,4.5556,4.5899,4.7362,4.6631
23,4.5194,4.5531,4.6988,4.626
24,4.5085,4.5425,4.6887,4.6156
25,4.5407,4.5755,4.7203,4.6479
26,4.5518,4.5855,4.7273,4.6564
27,4.6287,4.6633,4.8095,4.7364
28,4.7113,4.7448,4.8839,4.8144
29,4.7693,4.804,4.9471,4.8756
30,4.7955,4.831,4.971,4.901
31,4.9395,4.974,5.1137,5.0439
32,5.0168,5.0506,5.1895,5.1201
33,5.0177,5.0521,5.1922,5.1222
34,5.1144,5.1491,5.2922,5.2206
35,5.0806,5.1143,5.2545,5.1844
36,5.1709,5.2049,5.346,5.2755
