Month,NEER,REER
1,119.11,109.21
2,121.02,111.09
3,119.68,110.1
4,119.41,110.01
5,120.52,111.22
6,122.61,112.59
7,123.59,113.58
8,125.18,114.66
9,126.22,115.67
10,126.85,115.66
11,126.92,115.31
12,126.74,115.01
13,125.14,112.98
14,123.02,111.1
15,121.71,109.22
16,120.88,106.8
17,122.56,108.2
18,124.21,111.17
19,122.55,110.31
20,122.21,110.33
21,121.13,109.31
22,121.23,109.29
23,123.03,110.89
24,123.17,111.0
25,123.03,109.99
26,123.48,109.34
27,121.86,107.88
28,119.75,107.28
29,119.17,105.47
30,118.91,105.34
31,115.8,102.27
32,114.27,100.61
33,114.35,102.25
34,113.69,101.82
35,115.54,103.27
36,114.41,101.74
